Team,Team win/loss pct,Team Scoring,Team Points Allowed,SOS,Prior  Final AP Ranking,Off Eff,Def Eff,Net YPP,Explosiveness,Def 10+ YPP,Turnover Margin,Off Returning %,Def Returning %,TOP pct
Vanderbilt,0.417,24.6,36,5.33,0,-0.22,-0.27,-1.99,1.31204,0.234,-0.6,0.7,0.67,0.4839
Virginia,0.3,17,24,1.43,0,-0.69,0.26,-0.24,1.25349,0.088,-0.6,0.59,0.42,0.5759
Virginia Tech,0.273,19.3,24.7,-0.8,0,-0.67,-0.16,-1,1.2001,0.116,0.1,0.51,0.79,0.5613
Wake Forest,0.583,36.8,29.3,3.23,0,1.01,-0.17,0.43,1.23868,0.157,-1.2,0.79,0.64,0.46
Washington,0.833,40.8,26.3,-0.16,9,1.6,-0.36,1.23,1.29445,0.144,0.4,0.81,0.67,0.5164
Washington State,0.583,27.8,22.4,2.41,0,0.2,0.42,-0.13,1.33485,0.174,0.1,0.32,0.72,0.5119
West Virginia,0.417,30.6,32.9,7.51,0,0.54,-0.46,-1.13,1.25645,0.214,0.8,0.48,0.64,0.4685
Western Kentucky,0.615,35.8,23.5,-5.97,0,0.16,0.08,1.42,1.43117,0.102,1,0.51,0.69,0.4806
Western Michigan,0.417,19,24.1,-5.95,0,-1.18,-0.19,-1.28,1.32623,0.148,0.2,0.27,0.7,0.5411
Wisconsin,0.5,26.5,20.5,2.13,0,0.1,0.69,0.44,1.22077,0.061,0.2,0.63,0.59,0.4386
Wyoming,0.583,20.8,23.4,-4.7,0,-0.72,-0.3,-0.02,1.15075,0.106,-1,0.51,0.59,0.4417
